id;full_name;road_segment_wkt
606162072;Northern Busway;LINESTRING(174.7603 -36.80387,174.76047 -36.80315,174.76059 -36.80227,174.7606 -36.80204,174.76073 -36.80185)
606162076;Northern Busway;LINESTRING(174.76019 -36.80414,174.7603 -36.80387)
606171667;Northern Busway;LINESTRING(174.76017 -36.80486,174.76032 -36.8046)
606171676;Northern Busway;LINESTRING(174.75989 -36.80474,174.76002 -36.80451)
606194164;;LINESTRING(174.75963 -36.79925,174.75954 -36.79887)
606127651;Northern Mtwy;LINESTRING(174.71945 -36.73906,174.71938 -36.73885,174.71933 -36.73869,174.71926 -36.73847,174.71919 -36.73824,174.71913 -36.73808)
606134398;;LINESTRING(174.71837 -36.73513,174.7183 -36.73483,174.71819 -36.73453)
606134399;;LINESTRING(174.71819 -36.73453,174.71815 -36.73442)
606134400;;LINESTRING(174.71857 -36.73604,174.71837 -36.73513)
606134401;;LINESTRING(174.71898 -36.73769,174.71869 -36.73655)
606134402;;LINESTRING(174.71869 -36.73655,174.71857 -36.73604)
606134526;412;LINESTRING(174.719 -36.73809,174.71868 -36.73762,174.71849 -36.73729,174.71826 -36.73699,174.71795 -36.73669)
606134533;;LINESTRING(174.71792 -36.73411,174.71777 -36.73391)
606134534;;LINESTRING(174.71777 -36.73391,174.71761 -36.73374,174.71741 -36.73348)
606144924;Northern Mtwy;LINESTRING(174.71932 -36.73909,174.71926 -36.73888,174.71919 -36.73866,174.7191 -36.73838)
606144925;Northern Mtwy;LINESTRING(174.7191 -36.73838,174.719 -36.73809)
606144926;Northern Mtwy;LINESTRING(174.71954 -36.73984,174.71943 -36.73943,174.71937 -36.73924,174.71932 -36.73909)
606147831;Northern Mtwy;LINESTRING(174.71988 -36.74122,174.7196 -36.7401,174.71954 -36.73984)
606147833;412;LINESTRING(174.71741 -36.73348,174.71707 -36.73304)
606149560;;LINESTRING(174.71821 -36.73417,174.71815 -36.73411)
606149561;;LINESTRING(174.71792 -36.73411,174.71804 -36.73408,174.71815 -36.73411)
606127650;Northern Mtwy;LINESTRING(174.72145 -36.74449,174.7213 -36.74424,174.7211 -36.74388,174.72092 -36.74354,174.72073 -36.74314,174.72057 -36.74279,174.7204 -36.74239,174.72028 -36.74206,174.72021 -36.74185,174.72011 -36.74152,174.72002 -36.74121,174.71994 -36.74089,174.71987 -36.74061,174.71974 -36.74004,174.71968 -36.73982,174.7196 -36.73953,174.71952 -36.7393,174.71945 -36.73906)
606127825;Northern Mtwy;LINESTRING(174.72306 -36.74716,174.72249 -36.74633)
606127826;Northern Mtwy;LINESTRING(174.72249 -36.74633,174.72215 -36.74583,174.7217 -36.74515,174.72152 -36.74487,174.72142 -36.74471,174.72133 -36.74456)
606127827;Northern Mtwy;LINESTRING(174.72321 -36.74714,174.72262 -36.74629)
606127828;Northern Mtwy;LINESTRING(174.72262 -36.74629,174.72226 -36.74573,174.72171 -36.74492,174.72145 -36.74449)
606184199;;LINESTRING(174.72407 -36.74873,174.72368 -36.74819,174.72337 -36.74773,174.72306 -36.74716)
606132476;Northern Mtwy;LINESTRING(174.72441 -36.74897,174.72428 -36.74881,174.72395 -36.74838,174.72371 -36.74805,174.72336 -36.74758)
606141244;414;LINESTRING(174.72565 -36.74981,174.72513 -36.74929,174.72476 -36.74891,174.72445 -36.74858,174.72422 -36.74831,174.72388 -36.74791,174.72368 -36.74769,174.7235 -36.74755)
606177033;Northern Mtwy;LINESTRING(174.7349 -36.7589,174.7343 -36.7584,174.73381 -36.75799,174.73311 -36.7574)
606178292;Northern Mtwy;LINESTRING(174.732 -36.75622,174.73165 -36.75594,174.73118 -36.75555,174.73094 -36.75535,174.73073 -36.75518,174.73037 -36.75489)
606178293;Northern Mtwy;LINESTRING(174.73037 -36.75489,174.72985 -36.75445,174.72922 -36.7539,174.72873 -36.75345,174.72829 -36.75303,174.72767 -36.75242)
606184195;;LINESTRING(174.732 -36.75622,174.73179 -36.756,174.73148 -36.75573,174.73092 -36.75522,174.73024 -36.75459)
606184196;;LINESTRING(174.73024 -36.75459,174.72963 -36.75401)
606184197;;LINESTRING(174.72478 -36.74971,174.72452 -36.74936)
606184198;;LINESTRING(174.72452 -36.74936,174.72407 -36.74873)
606162069;Northern Busway;LINESTRING(174.74056 -36.76696,174.73976 -36.76482,174.73914 -36.76351,174.73884 -36.76285,174.73824 -36.76193,174.73757 -36.76097,174.7363 -36.75951,174.73429 -36.75783,174.73261 -36.7565)
606177032;Northern Mtwy;LINESTRING(174.7402 -36.76693,174.74 -36.7664,174.73982 -36.76592,174.73957 -36.76524,174.73949 -36.76505,174.73931 -36.76465,174.73907 -36.76415,174.73892 -36.76385,174.73855 -36.76319,174.73816 -36.76257,174.73787 -36.76214,174.7377 -36.76189,174.73754 -36.76168,174.7372 -36.76124,174.73678 -36.76074,174.73654 -36.76047,174.73638 -36.7603,174.73614 -36.76005,174.73591 -36.75982,174.73574 -36.75965,174.7354 -36.75935,174.73511 -36.75909,174.7349 -36.7589)
606177131;Northern Mtwy;LINESTRING(174.74038 -36.76684,174.74002 -36.76586,174.73978 -36.76524,174.73958 -36.76475,174.73945 -36.76445,174.73929 -36.76413,174.73913 -36.76381,174.73894 -36.76345,174.73879 -36.76318,174.73863 -36.76291,174.73838 -36.76251)
606177132;Northern Mtwy;LINESTRING(174.73838 -36.76251,174.73806 -36.76203)
606127541;Northern Mtwy;LINESTRING(174.74574 -36.77676,174.74547 -36.77633)
606133510;Northern Mtwy;LINESTRING(174.74641 -36.77811,174.74559 -36.77681)
606162074;Northern Busway;LINESTRING(174.74789 -36.77992,174.74748 -36.77927,174.74498 -36.77531,174.74455 -36.77455)
606177141;Northern Mtwy;LINESTRING(174.74773 -36.77991,174.74752 -36.77957,174.74713 -36.77894,174.74678 -36.77839)
606132475;Northern Mtwy;LINESTRING(174.72586 -36.75069,174.7256 -36.75041,174.7253 -36.75006,174.72504 -36.74974,174.72471 -36.74934,174.72441 -36.74897)
606133072;;LINESTRING(174.72544 -36.75068,174.72538 -36.7506)
606133073;;LINESTRING(174.72538 -36.7506,174.72499 -36.75001,174.72478 -36.74971)
606141227;;LINESTRING(174.72611 -36.75029,174.72583 -36.74999,174.72565 -36.74981)
606141242;;LINESTRING(174.72605 -36.75142,174.72582 -36.75116)
606141243;;LINESTRING(174.72582 -36.75116,174.72566 -36.75097)
606147830;Northern Mtwy;LINESTRING(174.72133 -36.74456,174.72122 -36.74437,174.72105 -36.74407,174.7208 -36.74361,174.72059 -36.74318,174.72044 -36.74285,174.72035 -36.74264,174.72027 -36.74243,174.72015 -36.74209,174.72007 -36.74185,174.71997 -36.74154,174.71988 -36.74122)
606117461;410;LINESTRING(174.71415 -36.72262,174.71411 -36.72255,174.71406 -36.72246,174.71398 -36.72232,174.71383 -36.72196)
606127604;Northern Mtwy;LINESTRING(174.71462 -36.724,174.71457 -36.72373,174.71452 -36.7235)
606127605;Northern Mtwy;LINESTRING(174.71452 -36.7235,174.71444 -36.72314,174.71438 -36.72286,174.71432 -36.72262)
606127606;Northern Mtwy;LINESTRING(174.71445 -36.72399,174.71439 -36.72369,174.71436 -36.72351)
606127607;Northern Mtwy;LINESTRING(174.71436 -36.72351,174.71428 -36.72317,174.71422 -36.7229,174.71415 -36.72262)
606133323;Northern Mtwy;LINESTRING(174.71474 -36.72483,174.71467 -36.72435)
606133324;Northern Mtwy;LINESTRING(174.71467 -36.72435,174.71466 -36.72426,174.71464 -36.72413,174.71462 -36.724)
606143766;;LINESTRING(174.71344 -36.71835,174.71339 -36.7181)
606143768;;LINESTRING(174.71344 -36.71835,174.71348 -36.71823,174.71362 -36.71797)
606143769;;LINESTRING(174.71332 -36.71801,174.7131 -36.71774)
606143772;;LINESTRING(174.71354 -36.71788,174.71338 -36.71788,174.71332 -36.71787,174.7131 -36.71774)
606143773;;LINESTRING(174.71415 -36.72208,174.71397 -36.72096,174.71385 -36.72036)
606143774;;LINESTRING(174.71385 -36.72036,174.71344 -36.71835)
606143835;;LINESTRING(174.71218 -36.71868,174.71207 -36.71843)
606143836;;LINESTRING(174.71191 -36.71883,174.71198 -36.71874,174.71206 -36.71857,174.71207 -36.71843)
606143842;410;LINESTRING(174.71383 -36.72196,174.71364 -36.7215,174.71352 -36.72125)
606143843;410;LINESTRING(174.71257 -36.7194,174.71237 -36.71903)
606143844;410;LINESTRING(174.71289 -36.71997,174.71268 -36.7196)
606143845;410;LINESTRING(174.71268 -36.7196,174.71257 -36.7194)
606153435;Northern Mtwy;LINESTRING(174.71472 -36.72621,174.71465 -36.72559,174.71459 -36.72499,174.71454 -36.72454,174.7145 -36.72427,174.71445 -36.72399)
606176748;410;LINESTRING(174.71352 -36.72125,174.7133 -36.72078)
606176749;410;LINESTRING(174.7133 -36.72078,174.71305 -36.72026,174.71289 -36.71997)
606184201;Northern Mtwy;LINESTRING(174.71389 -36.7217,174.71368 -36.72107,174.71352 -36.72066)
606184202;Northern Mtwy;LINESTRING(174.71352 -36.72066,174.71329 -36.72008,174.71301 -36.71945,174.7128 -36.71898,174.71269 -36.71876,174.71259 -36.71857,174.71253 -36.71846,174.7124 -36.71824)
606127838;Northern Mtwy;LINESTRING(174.75091 -36.81655,174.75105 -36.81602,174.75113 -36.81569)
606127840;Northern Mtwy;LINESTRING(174.75526 -36.81049,174.75593 -36.80977)
606127841;Northern Mtwy;LINESTRING(174.75512 -36.81042,174.75587 -36.80962)
606127861;Northern Mtwy;LINESTRING(174.75036 -36.82169,174.75035 -36.82162)
606127862;Northern Mtwy;LINESTRING(174.75035 -36.82162,174.75025 -36.82105,174.7502 -36.82077,174.75012 -36.82046)
606127863;Northern Mtwy;LINESTRING(174.75004 -36.82175,174.74998 -36.82148)
